id,title,description,availability,condition,price,link,image_link,brand
AC_b3ae501a32,BMW F 850 GS Adventure Sport,Ano: 2019/2020 • 58.830 KM,in stock,used,54900.00 BRL,https://www.usadofacil.com.br/V6/detalhes.asp?cod=BEDKLMH&veiculo=bmw-f-850-gs-adventure-sport,https://www.usadofacil.com.br/fotoscarrosano/2026/01/1317771-m.jpg?11052026144041,BMW
AC_51273be74e,BMW X1 Sdrive 20i M Sport 2.0 Turbo AutomÃ¡tico,Ano: 2024/2024 • 20.058 KM,in stock,used,315000.00 BRL,https://www.usadofacil.com.br/V6/detalhes.asp?cod=BEGLLNK&veiculo=bmw-x1-sdrive-20i-m-sport-2.0-turbo-automatico,https://www.usadofacil.com.br/fotoscarrosano/2026/05/1348784-m.jpg?10052026132708,BMW
AC_6bfe9a3e43,BMW X1 Sdrive 20i X-Line 2.0 Turbo AutomÃ¡tico,Ano: 2025/2025 • 17.000 KM,in stock,used,299900.00 BRL,https://www.usadofacil.com.br/V6/detalhes.asp?cod=BEJFMJM&veiculo=bmw-x1-sdrive-20i-x-line-2.0-turbo-automatico,https://www.usadofacil.com.br/fotoscarrosano/2026/07/1372846-m.jpg?0,BMW
AC_c6089926b7,BMW X3 M40i 3.0 Turbo V6 AutomÃ¡tico,Ano: 2018/2018 • 85.000 KM,in stock,used,219900.00 BRL,https://www.usadofacil.com.br/V6/detalhes.asp?cod=BECFNLK&veiculo=bmw-x3-m40i-3.0-turbo-v6-automatico,https://www.usadofacil.com.br/fotoscarrosano/2025/11/1302964-m.jpg?15072026173220,BMW
AC_244a4d0ab1,CBR 1100 XX Super Blackbird,Ano: 1998/1998 • 18.000 KM,in stock,used,30900.00 BRL,https://www.usadofacil.com.br/V6/detalhes.asp?cod=BEJEIFP&veiculo=cbr-1100-xx-super-blackbird,https://www.usadofacil.com.br/fotoscarrosano/2026/07/1371409-m.jpg?29072026120404,CBR
AC_4880350e5c,Civic Sedan Sport 2.0 MecÃ¢nico Flex,Ano: 2016/2017 • 129.055 KM,in stock,used,90000.00 BRL,https://www.usadofacil.com.br/V6/detalhes.asp?cod=BEHGJFN&veiculo=civic-sedan-sport-2.0-mecanico-flex,https://www.usadofacil.com.br/fotoscarrosano/2026/05/1353507-m.jpg?0,Civic
AC_b65c167b17,Commander Overland T270 1.3 Turbo AutomÃ¡tico Flex,Ano: 2022/2023 • 42.633 KM,in stock,used,159900.00 BRL,https://www.usadofacil.com.br/V6/detalhes.asp?cod=BEIFHKO&veiculo=commander-overland-t270-1.3-turbo-automatico-flex,https://www.usadofacil.com.br/fotoscarrosano/2026/06/1362358-m.jpg?24072026112702,Commander
AC_fddf2284cd,Compass Longitude 2.0 4X4 AutomÃ¡tico Diesel,Ano: 2019/2019 • 111.783 KM,in stock,used,107900.00 BRL,https://www.usadofacil.com.br/V6/detalhes.asp?cod=BEIFHLI&veiculo=compass-longitude-2.0-4x4-automatico-diesel,https://www.usadofacil.com.br/fotoscarrosano/2026/06/1362362-m.jpg?0,Compass
AC_680be2b9f2,Compass Longitude T270 1.3 Turbo 4x2 AutomÃ¡tico Flex,Ano: 2023/2023 • 35.136 KM,in stock,used,139900.00 BRL,https://www.usadofacil.com.br/V6/detalhes.asp?cod=BEIEHNG&veiculo=compass-longitude-t270-1.3-turbo-4x2-automatico-flex,https://www.usadofacil.com.br/fotoscarrosano/2026/06/1361380-m.jpg?0,Compass
AC_093739550f,Compass Longitude T270 1.3 Turbo 4x2 AutomÃ¡tico Flex,Ano: 2024/2024 • 91.934 KM,in stock,used,129900.00 BRL,https://www.usadofacil.com.br/V6/detalhes.asp?cod=BEHKEFL&veiculo=compass-longitude-t270-1.3-turbo-4x2-automatico-flex,https://www.usadofacil.com.br/fotoscarrosano/2026/06/1357005-m.jpg?24072026182841,Compass
AC_23c70ce37d,Compass Longitude T270 1.3 Turbo 4x2 AutomÃ¡tico Flex,Ano: 2025/2025 • 5.200 KM,in stock,used,148900.00 BRL,https://www.usadofacil.com.br/V6/detalhes.asp?cod=BEIMHJP&veiculo=compass-longitude-t270-1.3-turbo-4x2-automatico-flex,https://www.usadofacil.com.br/fotoscarrosano/2026/07/1369349-m.jpg?21072026202620,Compass
AC_9217708717,COOPER PACEMAN S 1.6 AutomÃ¡tico,Ano: 2014/2015 • 75.930 KM,in stock,used,104900.00 BRL,https://www.usadofacil.com.br/V6/detalhes.asp?cod=BECJLKP&veiculo=cooper-paceman-s-1.6-automatico,https://www.usadofacil.com.br/fotoscarrosano/2025/11/1306759-m.jpg?22022026114925,COOPER
AC_681e2ac5b7,Corolla XEI 2.0 AutomÃ¡tico Flex,Ano: 2023/2024 • 41.061 KM,in stock,used,144900.00 BRL,https://www.usadofacil.com.br/V6/detalhes.asp?cod=BEHGJFO&veiculo=corolla-xei-2.0-automatico-flex,https://www.usadofacil.com.br/fotoscarrosano/2026/05/1353508-m.jpg?24072026185315,Corolla
AC_96d513dfa9,Corolla XEI 2.0 AutomÃ¡tico Flex,Ano: 2023/2024 • 49.084 KM,in stock,used,141900.00 BRL,https://www.usadofacil.com.br/V6/detalhes.asp?cod=BEIIJGL&veiculo=corolla-xei-2.0-automatico-flex,https://www.usadofacil.com.br/fotoscarrosano/2026/07/1365515-m.jpg?24072026185231,Corolla
AC_7599f4c1e8,Corolla XEI 2.0 AutomÃ¡tico Flex,Ano: 2015/2016 • 115.826 KM,in stock,used,89900.00 BRL,https://www.usadofacil.com.br/V6/detalhes.asp?cod=BEJELHO&veiculo=corolla-xei-2.0-automatico-flex,https://www.usadofacil.com.br/fotoscarrosano/2026/07/1371728-m.jpg?29072026094802,Corolla
AC_783b7579ce,Creta Limited 1.0 Turbo AutomÃ¡tico Flex,Ano: 2022/2023 • 60.563 KM,in stock,used,112900.00 BRL,https://www.usadofacil.com.br/V6/detalhes.asp?cod=BEGJKOO&veiculo=creta-limited-1.0-turbo-automatico-flex,https://www.usadofacil.com.br/fotoscarrosano/2026/04/1346698-m.jpg?29072026120406,Creta
AC_9dcbc0d5a4,Cronos 1.0 Flex,Ano: 2022/2023 • 56.000 KM,in stock,used,66900.00 BRL,https://www.usadofacil.com.br/V6/detalhes.asp?cod=BEHHLMK&veiculo=cronos-1.0-flex,https://www.usadofacil.com.br/fotoscarrosano/2026/05/1354774-m.jpg?29072026115957,Cronos
